content_key,response_index,synthetic_type,criterion_key,validator_A_label,validator_A_evidence_quote,validator_B_label,validator_B_evidence_quote,agreement,lead_adjudication,final_gold_label
APSTAT-MOD3-E001,0,fully_correct,empirical_rule_application,,,,,,,
APSTAT-MOD3-E001,1,incorrect,empirical_rule_application,,,,,,,
APSTAT-MOD3-E002,0,fully_correct,distribution_shape,,,,,,,
APSTAT-MOD3-E002,1,incorrect,distribution_shape,,,,,,,
APSTAT-MOD3-E003,0,fully_correct,z_score_calculation,,,,,,,
APSTAT-MOD3-E003,1,incorrect,z_score_calculation,,,,,,,
APSTAT-MOD3-E004,0,fully_correct,range_calculation,,,,,,,
APSTAT-MOD3-E004,1,incorrect,range_calculation,,,,,,,
APSTAT-MOD3-E005,0,fully_correct,correlation_causation,,,,,,,
APSTAT-MOD3-E005,1,incorrect,correlation_causation,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,hypothesis_test,,,,,,,
APSTAT-MOD3-H001-INV,1,borderline,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,1,borderline,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,1,borderline,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,1,borderline,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,1,borderline,hypothesis_test,,,,,,,
APSTAT-MOD3-H001-INV,2,partially_correct,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,2,partially_correct,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,2,partially_correct,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,2,partially_correct,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,2,partially_correct,hypothesis_test,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,hypothesis_test,,,,,,,
APSTAT-MOD4-M001,0,fully_correct,experimental_design,,,,,,,
APSTAT-MOD4-M001,1,incorrect,experimental_design,,,,,,,
APSTAT-MOD4-M002,0,fully_correct,stratified_sampling,,,,,,,
APSTAT-MOD4-M002,1,incorrect,stratified_sampling,,,,,,,
APSTAT-MOD4-M003,0,fully_correct,census_vs_sample,,,,,,,
APSTAT-MOD4-M003,1,incorrect,census_vs_sample,,,,,,,
APSTAT-MOD4-M004,0,fully_correct,visual_description,,,,,,,
APSTAT-MOD4-M004,1,incorrect,visual_description,,,,,,,
APSTAT-MOD4-M005,0,fully_correct,confounding_variable,,,,,,,
APSTAT-MOD4-M005,1,incorrect,confounding_variable,,,,,,,
APSTAT-MOD4-H001-INV,0,fully_correct,experimental_design,,,,,,,
APSTAT-MOD4-H001-INV,0,fully_correct,blocking_decision,,,,,,,
APSTAT-MOD4-H001-INV,0,fully_correct,hypothesis_test_execution,,,,,,,
APSTAT-MOD4-H001-INV,0,fully_correct,significance_interpretation,,,,,,,
APSTAT-MOD4-H001-INV,1,borderline,experimental_design,,,,,,,
APSTAT-MOD4-H001-INV,1,borderline,blocking_decision,,,,,,,
APSTAT-MOD4-H001-INV,1,borderline,hypothesis_test_execution,,,,,,,
APSTAT-MOD4-H001-INV,1,borderline,significance_interpretation,,,,,,,
APSTAT-MOD4-H001-INV,2,partially_correct,experimental_design,,,,,,,
APSTAT-MOD4-H001-INV,2,partially_correct,blocking_decision,,,,,,,
APSTAT-MOD4-H001-INV,2,partially_correct,hypothesis_test_execution,,,,,,,
APSTAT-MOD4-H001-INV,2,partially_correct,significance_interpretation,,,,,,,
APSTAT-MOD4-H001-INV,3,subtly_wrong,experimental_design,,,,,,,
APSTAT-MOD4-H001-INV,3,subtly_wrong,blocking_decision,,,,,,,
APSTAT-MOD4-H001-INV,3,subtly_wrong,hypothesis_test_execution,,,,,,,
APSTAT-MOD4-H001-INV,3,subtly_wrong,significance_interpretation,,,,,,,
